;0
0;-1198547.1185837735
1;-225984.23875828646
2;2394758.7077875803
3;-152174.9499185593
4;-960096.1820462197
5;-292480.7396443607
6;-384201.95183785073
7;-781188.4650179306
8;-1445041.3087927885
9;5324768.661073326
10;208830.75050749537
11;-1221148.839815664
12;-278090.21971383644
13;-466461.60452359496
14;1260938.7808852326
15;90292.94062780298
16;1831381.414001748
17;594923.9312316105
18;-796706.5846033343
19;203683.58579997811
20;-729465.5063310405
21;607614.312584511
22;-153602.3272288926
23;2940592.1324186544
24;-356461.0611588806
25;1309705.466418493
26;900197.4695400782
27;-388115.9811339611
28;1430889.5344896722
29;813010.6616566839
30;-1572581.2623153804
31;-316360.11761123827
32;-1724255.6755958644
33;-191730.09199171048
34;-677857.7033859213
35;534196.1624753764
36;2111488.852156508
37;-3850939.8148967326
38;9072527.813472059
39;100087.28940585535
40;1770071.336615827
41;584540.6530397432
42;971085.3697167356
43;-1422088.8130875267
44;4737670.415615856
45;233060.87684393022
46;-1436637.456465649
47;-1316132.9939801712
48;-446082.2159942053
49;4278599.625356891
50;645495.0314095952
51;3045203.9843992856
52;-1687963.6191464337
53;128054.19034010055
54;805993.5928240744
55;-1499419.8130026888
56;582302.180433903
57;-517292.5925741084
58;18942.197564091184
59;355689.80381238647
60;-1127700.3674012618
61;-1371065.1421368285
62;2066611.836989157
63;-6591916.931132596
64;398972.26805810165
65;-877170.8414625362
66;198744.5963144591
67;-1096309.4468530035
68;190487.88070876058
69;607320.4985268135
70;-1343513.3014257448
71;537578.2540563606
72;472626.7463009022
73;285712.59616959933
74;594698.9399527516
75;2432491.817741787
76;-2252896.2300232407
77;596195.4817958847
78;2748779.4853462838
79;-646636.2393981209
80;-36377.452252419665
81;-3363147.3249923554
82;2420399.5328155872
83;40675.64324582135
84;647141.7059933366
85;1944498.5659974515
86;-919209.0033332873
87;-1323774.4379995028
88;318693.7189443996
89;-1052570.989025729
90;1441198.9322316917
91;-445225.9076271638
92;524541.8745471364
93;2260086.4017555155
94;1628846.738241558
95;-538823.7840663157
96;1385764.2448569615
97;-3273827.007293898
98;-63056.127553694765
99;-792874.4977144757
100;-76915.6690085982
101;80030.47432907391
102;-258822.97381297033
103;-1107037.5175203374
104;-1620386.8871144336
105;1704782.8522616439
106;-1367177.3708699439
107;-1134221.532803923
108;-890368.6796378235
109;-42844.58843132807
110;2152070.3843004834
111;-581305.6478378515
112;771336.0925612301
113;617001.3939879183
114;-2128708.523129831
115;3025.323891488835
116;-196168.72876038635
117;2385814.0342404917
118;5078244.763090803
119;1556968.4260570984
120;2650455.4850820713
121;-784225.879562716
122;-540571.3094660211
123;-832020.4457598217
124;-91944.77000169223
125;-212473.37549522193
126;-237870.4601483578
127;-789862.0753837749
128;2241957.256069528
129;1439018.9745818768
130;-2538104.1064897375
131;957471.0369364042
132;175223.254858749
133;-294485.58680174546
134;1687473.4574952107
135;-1515081.0432570295
136;4710283.339005506
137;29701.321730813943
138;-3357077.784431208
139;2427725.499279797
140;159922.29498248268
141;1289985.6273714649
142;1034669.1498950534
143;-1813814.446124736
144;3050661.412495708
145;490315.6234168457
146;-1754531.988027074
147;-592796.4572328888
148;296114.6924627074
149;-322213.6632624506
150;-315067.1292325519
151;-1528630.02172049
